000001.jpg
162770.jpg
162770
Train: [3][80/1271]	BT 0.818 (0.844)	DT 0.000 (0.029)	loss 5.334 (5.241)
Train: [3][90/1271]	BT 0.826 (0.841)	DT 0.000 (0.026)	loss 5.060 (5.243)
Train: [3][100/1271]	BT 0.825 (0.840)	DT 0.000 (0.023)	loss 5.220 (5.240)
Train: [3][110/1271]	BT 0.823 (0.838)	DT 0.000 (0.021)	loss 5.458 (5.237)
Train: [3][120/1271]	BT 0.826 (0.837)	DT 0.000 (0.019)	loss 5.189 (5.212)
Train: [3][130/1271]	BT 0.823 (0.836)	DT 0.000 (0.018)	loss 5.134 (5.207)
Train: [3][140/1271]	BT 0.820 (0.835)	DT 0.000 (0.016)	loss 5.035 (5.209)
Train: [3][150/1271]	BT 0.819 (0.834)	DT 0.000 (0.015)	loss 5.298 (5.209)
Train: [3][160/1271]	BT 0.819 (0.833)	DT 0.000 (0.014)	loss 5.247 (5.211)
Train: [3][170/1271]	BT 0.820 (0.832)	DT 0.000 (0.014)	loss 5.203 (5.207)
